Name,Longitude location of institution,Latitude location of institution,search_url,image,url
Claremont Graduate University,-117.712394,34.103778,http://api.duckduckgo.com/?q=Claremont+Graduate+University%20wikipedia&format=json,,
Claremont McKenna College,-117.706593,34.102323,http://api.duckduckgo.com/?q=Claremont+McKenna+College%20wikipedia&format=json,,
Coleman University,-117.136493,32.821962,http://api.duckduckgo.com/?q=Coleman+University%20wikipedia&format=json,,
Dominican University of California,-122.514654,37.980014,http://api.duckduckgo.com/?q=Dominican+University+of+California%20wikipedia&format=json,,
Fielding Graduate University,-119.717151,34.4294,http://api.duckduckgo.com/?q=Fielding+Graduate+University%20wikipedia&format=json,,
Fresno Pacific University,-119.731953,36.725279,http://api.duckduckgo.com/?q=Fresno+Pacific+University%20wikipedia&format=json,,
Golden Gate University-San Francisco,-122.398785,37.789208,http://api.duckduckgo.com/?q=Golden+Gate+University-San+Francisco%20wikipedia&format=json,,
Harvey Mudd College,-117.710594,34.106137,http://api.duckduckgo.com/?q=Harvey+Mudd+College%20wikipedia&format=json,,
Holy Names University,-122.18717,37.802654,http://api.duckduckgo.com/?q=Holy+Names+University%20wikipedia&format=json,,
Humboldt State University,-124.0814,40.8741,http://api.duckduckgo.com/?q=Humboldt+State+University%20wikipedia&format=json,,
Humphreys College-Stockton and Modesto Campuses,-121.316401,38.011051,http://api.duckduckgo.com/?q=Humphreys+College-Stockton+and+Modesto+Campuses%20wikipedia&format=json,,
John F Kennedy University,-122.183972,37.881794,http://api.duckduckgo.com/?q=John+F+Kennedy+University%20wikipedia&format=json,,
American Jewish University,-118.471764,34.128099,http://api.duckduckgo.com/?q=American+Jewish+University%20wikipedia&format=json,,
University of La Verne,-117.772634,34.10086,http://api.duckduckgo.com/?q=University+of+La+Verne%20wikipedia&format=json,,
Lincoln University,-122.269745,37.804788,http://api.duckduckgo.com/?q=Lincoln+University%20wikipedia&format=json,,
La Sierra University,-117.497071,33.908834,http://api.duckduckgo.com/?q=La+Sierra+University%20wikipedia&format=json,,
The Master's College and Seminary,-118.517422,34.38214,http://api.duckduckgo.com/?q=The+Master%27s+College+and+Seminary%20wikipedia&format=json,,
Loyola Marymount University,-118.415655,33.970633,http://api.duckduckgo.com/?q=Loyola+Marymount+University%20wikipedia&format=json,,
Menlo College,-122.181444,37.452906,http://api.duckduckgo.com/?q=Menlo+College%20wikipedia&format=json,,
Mills College,-122.18789,37.782639,http://api.duckduckgo.com/?q=Mills+College%20wikipedia&format=json,,
Monterey Institute of International Studies,-121.896813,36.599827,http://api.duckduckgo.com/?q=Monterey+Institute+of+International+Studies%20wikipedia&format=json,,
Mount St Mary's College,-118.480471,34.082112,http://api.duckduckgo.com/?q=Mount+St+Mary%27s+College%20wikipedia&format=json,,
National University,-117.244243,32.909469,http://api.duckduckgo.com/?q=National+University%20wikipedia&format=json,,
Notre Dame de Namur University,-122.284618,37.517501,http://api.duckduckgo.com/?q=Notre+Dame+de+Namur+University%20wikipedia&format=json,,
Occidental College,-118.210783,34.126224,http://api.duckduckgo.com/?q=Occidental+College%20wikipedia&format=json,,
Hope International University,-117.88573,33.87616,http://api.duckduckgo.com/?q=Hope+International+University%20wikipedia&format=json,,
Pacific Union College,-122.449639,38.57409,http://api.duckduckgo.com/?q=Pacific+Union+College%20wikipedia&format=json,,
University of the Pacific,-121.307296,37.980624,http://api.duckduckgo.com/?q=University+of+the+Pacific%20wikipedia&format=json,,
Pepperdine University,-118.707677,34.041912,http://api.duckduckgo.com/?q=Pepperdine+University%20wikipedia&format=json,,
Pitzer College,-117.705939,34.103408,http://api.duckduckgo.com/?q=Pitzer+College%20wikipedia&format=json,,
Point Loma Nazarene University,-117.251204,32.713295,http://api.duckduckgo.com/?q=Point+Loma+Nazarene+University%20wikipedia&format=json,,
Pomona College,-117.711944,34.098298,http://api.duckduckgo.com/?q=Pomona+College%20wikipedia&format=json,,
University of Redlands,-117.163847,34.063571,http://api.duckduckgo.com/?q=University+of+Redlands%20wikipedia&format=json,,
San Diego State University,-117.071228,32.77525,http://api.duckduckgo.com/?q=San+Diego+State+University%20wikipedia&format=json,,
University of San Diego,-117.188721,32.77142,http://api.duckduckgo.com/?q=University+of+San+Diego%20wikipedia&format=json,,
San Francisco State University,-122.477905,37.721345,http://api.duckduckgo.com/?q=San+Francisco+State+University%20wikipedia&format=json,,
University of San Francisco,-122.450977,37.775564,http://api.duckduckgo.com/?q=University+of+San+Francisco%20wikipedia&format=json,,
San Jose State University,-121.881214,37.335201,http://api.duckduckgo.com/?q=San+Jose+State+University%20wikipedia&format=json,,
Santa Clara University,-121.938189,37.352706,http://api.duckduckgo.com/?q=Santa+Clara+University%20wikipedia&format=json,,
Scripps College,-117.711336,34.103655,http://api.duckduckgo.com/?q=Scripps+College%20wikipedia&format=json,,
Simpson University,-122.333048,40.61331,http://api.duckduckgo.com/?q=Simpson+University%20wikipedia&format=json,,
Saint Mary's College of California,-122.106795,37.83997,http://api.duckduckgo.com/?q=Saint+Mary%27s+College+of+California%20wikipedia&format=json,,
Sonoma State University,-122.673261,38.341023,http://api.duckduckgo.com/?q=Sonoma+State+University%20wikipedia&format=json,,
Vanguard University of Southern California,-117.900911,33.662686,http://api.duckduckgo.com/?q=Vanguard+University+of+Southern+California%20wikipedia&format=json,,
University of Southern California,-118.283858,34.021058,http://api.duckduckgo.com/?q=University+of+Southern+California%20wikipedia&format=json,,
Thomas Aquinas College,-119.087141,34.429009,http://api.duckduckgo.com/?q=Thomas+Aquinas+College%20wikipedia&format=json,,
Westmont College,-119.661932,34.449265,http://api.duckduckgo.com/?q=Westmont+College%20wikipedia&format=json,,
Whittier College,-118.028402,33.977625,http://api.duckduckgo.com/?q=Whittier+College%20wikipedia&format=json,,
Woodbury University,-118.340692,34.209226,http://api.duckduckgo.com/?q=Woodbury+University%20wikipedia&format=json,,
Adams State University,-105.880943,37.477238,http://api.duckduckgo.com/?q=Adams+State+University%20wikipedia&format=json,,
University of Colorado Denver,-104.999181,39.74603,http://api.duckduckgo.com/?q=University+of+Colorado+Denver%20wikipedia&format=json,,
University of Colorado Colorado Springs,-104.800296,38.892735,http://api.duckduckgo.com/?q=University+of+Colorado+Colorado+Springs%20wikipedia&format=json,,
University of Colorado Boulder,-105.267061,40.004415,http://api.duckduckgo.com/?q=University+of+Colorado+Boulder%20wikipedia&format=json,,
Colorado Christian University,-105.094836,39.711701,http://api.duckduckgo.com/?q=Colorado+Christian+University%20wikipedia&format=json,,
Colorado College,-104.82422,38.84657,http://api.duckduckgo.com/?q=Colorado+College%20wikipedia&format=json,,
Colorado School of Mines,-105.227148,39.75079,http://api.duckduckgo.com/?q=Colorado+School+of+Mines%20wikipedia&format=json,,
Colorado State University-Fort Collins,-105.08083,40.574759,http://api.duckduckgo.com/?q=Colorado+State+University-Fort+Collins%20wikipedia&format=json,,
College America-Denver,-104.94118,39.691571,http://api.duckduckgo.com/?q=College+America-Denver%20wikipedia&format=json,,
University of Denver,-104.964625,39.695954,http://api.duckduckgo.com/?q=University+of+Denver%20wikipedia&format=json,,
Fort Lewis College,-107.867003,37.275428,http://api.duckduckgo.com/?q=Fort+Lewis+College%20wikipedia&format=json,,
Colorado Mesa University,-108.540281,39.076354,http://api.duckduckgo.com/?q=Colorado+Mesa+University%20wikipedia&format=json,,
Metropolitan State University of Denver,-105.002391,39.742248,http://api.duckduckgo.com/?q=Metropolitan+State+University+of+Denver%20wikipedia&format=json,,
Naropa University,-105.267073,40.014816,http://api.duckduckgo.com/?q=Naropa+University%20wikipedia&format=json,,
University of Northern Colorado,-104.701721,40.403178,http://api.duckduckgo.com/?q=University+of+Northern+Colorado%20wikipedia&format=json,,
Regis University,-105.031385,39.78976,http://api.duckduckgo.com/?q=Regis+University%20wikipedia&format=json,,
Colorado State University-Pueblo,-104.579846,38.309219,http://api.duckduckgo.com/?q=Colorado+State+University-Pueblo%20wikipedia&format=json,,
Western State Colorado University,-106.91971,38.547421,http://api.duckduckgo.com/?q=Western+State+Colorado+University%20wikipedia&format=json,,
Albertus Magnus College,-72.923848,41.332519,http://api.duckduckgo.com/?q=Albertus+Magnus+College%20wikipedia&format=json,,
University of Bridgeport,-73.189352,41.165587,http://api.duckduckgo.com/?q=University+of+Bridgeport%20wikipedia&format=json,,
Central Connecticut State University,-72.770094,41.690258,http://api.duckduckgo.com/?q=Central+Connecticut+State+University%20wikipedia&format=json,,
Charter Oak State College,-72.767972,41.688246,http://api.duckduckgo.com/?q=Charter+Oak+State+College%20wikipedia&format=json,,
Connecticut College,-72.107321,41.379833,http://api.duckduckgo.com/?q=Connecticut+College%20wikipedia&format=json,,
University of Connecticut,-72.249519,41.808205,http://api.duckduckgo.com/?q=University+of+Connecticut%20wikipedia&format=json,,
Eastern Connecticut State University,-72.218753,41.721673,http://api.duckduckgo.com/?q=Eastern+Connecticut+State+University%20wikipedia&format=json,,
Fairfield University,-73.25778,41.160732,http://api.duckduckgo.com/?q=Fairfield+University%20wikipedia&format=json,,
Rensselaer Hartford Graduate Center Inc,-72.673916,41.773462,http://api.duckduckgo.com/?q=Rensselaer+Hartford+Graduate+Center+Inc%20wikipedia&format=json,,
University of Hartford,-72.714965,41.796485,http://api.duckduckgo.com/?q=University+of+Hartford%20wikipedia&format=json,,
Mitchell College,-72.095337,41.328075,http://api.duckduckgo.com/?q=Mitchell+College%20wikipedia&format=json,,
University of New Haven,-72.961472,41.291314,http://api.duckduckgo.com/?q=University+of+New+Haven%20wikipedia&format=json,,
Quinnipiac University,-72.895542,41.419527,http://api.duckduckgo.com/?q=Quinnipiac+University%20wikipedia&format=json,,
Sacred Heart University,-73.24461,41.221548,http://api.duckduckgo.com/?q=Sacred+Heart+University%20wikipedia&format=json,,
University of Saint Joseph,-72.730489,41.783028,http://api.duckduckgo.com/?q=University+of+Saint+Joseph%20wikipedia&format=json,,
Southern Connecticut State University,-72.948806,41.331852,http://api.duckduckgo.com/?q=Southern+Connecticut+State+University%20wikipedia&format=json,,
